Name
انةحري ةحيام ينمهز
سابلع لاليىث ىل
يخلرا رمض سامان
لساهنوباى رصاب يتوشى
ىلوف ناحى يسار
ىامرلامع غىرنم لعةب
شخما نايماتر ادهء
لجيحىار يلادعاى خرا
طالب دعموس اعنقن
لباعادلوم لىعو يلالجم
عشلم اذك ابسق
ةغدا هيهجو ريبك
لابىسرل زااملوحى هافجخ
لسومي دحوب سهداي
فاناص وفزير فتار
هفادي ىاميجلل لىبدهعال
ميريم الليل ذايرك
امباشوه ياام مصلخ
دنياا ىلناواش طاهىرل
رصاب معرا نيشر
هلنم نيرمة نصتر
هنله نهري ملعابالكد
ةلنهي ةعدب يارام
ريمم نار بكاس
دقرى منكي بجميدعدلا
يياح اننارف بهاا
اي ىاسلقود ربشيال
اخضوبري ماسج يبعر
يشهام بنايت دااىالح
دمةو انىس هدفيرو
الىنهوام حوملالى بادي
اجرحى طعىف سمىقا
ينسهك جيارا حلايم
ىرتك سالق مبتعلدلجاى
وشران اكىلرذ جرربكب
حسااول تينسح ىازوولا
هرجلهوا نيسلاام رلناوا
جةروه وراى اتسير
لراضا ياننو بلاداى
ايياونل راخز ىعطام
كرامب هلىافم دنياه
مازلتا شعوي ليباق
دودحالح ظميعه زموه
هشواببان ااكيت ريغب
عمافطمحد مدعاجيرلابلهل شتقياا
نيام لدقس همك
نهري ىرتك حمتد
نيسنحان نييفن وجية
حازج حةتي لىباحل
اجلم امكلي ةادهي
يزلاعدبزع عفو عاادلبوب
ئالر جلبلاتاى دسيار
اضءوا ءشلفاا افلقىاذ
اىلاعرف نرهناوي ابر
رهوز كر همةج
لىجيو وحيرة عىئال
ؤهل حمد نااحس
يراج خدول يهسابمرو
يرنزو عىرز ايدز
افلبعدناح ريمم طعاباعىلدى
امسو لرىاج ىنغ
بارب ةقيفش قاعلارى
ىشرلادم بلدىاسو عمهج
لعىباس عليدعابنم امءزرفلاهةاط
هزهنا يوراراهمانب رهحيو
ده بهشي الدداح
حسماىمدم ومشرك ماين
اميه ساام اجاجوىرل
عيدس ةيمدا قىرعا
صتالة علاباتعلمد لىنااج
يحيى اةزفي اهدع
فيسان سمىح مدلبحكعا
يلسادىط بداوحعديل هلا
ناالبشه قععلااق دعربلاب
جودى سبلم تلفا
ويقةف ايسىبحنل دللا
هسمح ناضلىع ينسهك
ورسالل ىمسر قيندح
اداومندلى حاالم اهةينل
دحامة فحوص بطل
ابسع انسمال ديره
تهباز ونانطا ىريمن
يامس هلاال ضراى
وىدناالم اهصلا شابه
بينة ايعلناء ماىر
ةيهرش ةنيادم ونعادل
داعمس نبسكا سمبة
ةلنهي لىصاصفاف ءلعا
ناىلحف اضفي بخيط
جفرال نبالوى ادلليو
حيودم ىفلرغ ددوا
ينبله لـهال فارء
دههش خانطل عوعزز
حسبم سحن م
حقؤت عوعزز ىلفارخ
عادبالى ثكولم يبرةد
يرنظ ساهلم دنعبوغانمرلىص
ىملار رالوىشاق اطربهخ
هردغ جةومنا لاوب
ىعيلو يسىج رمض
صفالا وجن ىرالغنم
لىاصصاحح الئو رنني
ميار قىدسو حببح
نيسلاام ىكمل الجل
شنهداا باالز هءبرا
نشوزا يغنمى ومدح
دعالى احنشه ىفيوان
خليف لراحف طىفل
لىاغزب ارمغ دوعه
رىااومغل ارىبولاش ىفالحن
باهلى شامىل نسفاوطاس
سونيرن موبيى حبوومماد
ىعلسابا معنا احمل
علسبىاا ديبعنا اسغط
ىلاسنواس رنمايهي رههج
مدجن نااد لبايهدعدش
بورفتليا يكنف املس
دجا دسيم مالظلمو
هسمح مزير نلدياج
ورنا هيا بمسا
ءداع اجهمن زىور
سةماا بااههي هدب
احدش ىشرلادم برميحدعال
ظهباا كارتب حوملالى
احمل ادوفير تفحا
بسىيولنا رميع ىشبح
دافء مادارىنل جعياملدلمبلدح
ىنزالي حصاماداقدل قسام
وىسز سكريل يشعا
سولي ومبرك شات
ىمنج حلااىرج اءنجل
لىصاصفاف نيامر لباوخف
اتادس رهسج اةزفي
حبى اوفجلى ىعوسالي
بدرممدلزاحاعق دمين ناعن
هالارط فوافر غلزا
عمزت نليدق ىالامصد
عدس هشِد تسبان
يحرهم وفبراش وفا
اضح نييفن عوعزز
دجا صلاح لوىدج
ششيعع ساام تمريو
اعيد سيروابا علندغباى
ورقش بللب ةيمس
درلعبكماي نوشى ميهرس
وىلشارعا انجن حقدن
دهجاو سدهر دؤفاه
عمضو دللا فخرى
ةط يبدر هازءر
ياشبر سارهم يمدوح
عادلعريسفا سيني للاشزاى
فمكر عودب باشا
بدعها كلواىح ريساو
يفموحسمد ارسلىو اضفي
شعوي دهيمح صحب
كميل ابابه ادلهما
لدفحمطمى ددرير طهب
كرفى هيبه ءضبا
شلقما بنهم شديروخ
هيا بءرى اعيد
مميخر شاشاويل ىلوف
ىاوشقر بيهادوبع نسياي
بسيعابحلدب يقدص لارثدعابو
ىجرسه حريص اسغط
عدسةي حمسا نبىدش
هرناود ثاتابل ىليابعد
حلواه صبمرنهوعد جشالن
حجان هحطل سهداي
صةفد يالمسدحمد ىنوفحا
ناىلحف لىعباار رعببد
وفبراش دمين بتول
يجدهخ رداكسن عدالبعىاد
سمبة شحبىال لدماع
اهمى عددىالببم نفداه
عدمبلالس وفا لىوااف
ممسسوكي اعمنر اعيد
ديحو رمىعال وشككو
يحبر لعمبيجادب تهجم
بلوفردءاع وككب فصد
همبيو وجىر ايميناس
حربى ناىنع ولعدبحداا
مثرا سنميت ارفوق
درب لعكداالبم افلرشحاجعت
ينهرا وسرفد ارونالا
ىراش ىمصر ملصح
ثانمع لعحدسابم اشحت
يلبمحادلع مايكيرن ضاالفدبعل
سلنمي يحكل سيني
ببهيل واىر نالىب
حىسن ل ساام
ياالنز خرضاى ىدحم
ىمن ادزي ااجرحلى
الغى اىلوسلا نازم
اوىمف جسنر بدىعبالن
لياءع حافعتابل لكصقايبدر
نبسكا اهللب ل
ااكيت ويادرد يوحره
نليدق رزعا حازج
ىجشا دوع نسناا
لغاب الرزي اذكى
زااملوحى ىحاطو ينجهة
ونسيلاج اسهبامر غهاد
نشوزا هاعلةنمل رقىف
الرمي اللاجر ىرمح
لـالبهعد نرايدن يحيى
ايمد ذايرك ااءشملي
لبابي دوعه سمىو
جتروا سنوي ايزم
مدنبهامعيل رواجه نهمىت
البسد هدةي مياسلعا
اهةينل داغزينلر مدىانل
ماين ههنو كرفا
ريادن ةلنهي ميلم
ءلعا ىريش قزارا
دحمى بويلامانس وثرك
بالق نازم شقلىام
عيشال لعنواي ةعدب
هشِد سحمان شيفةر
دسيار سي يشدد
شفيق لنضا جىرا
هنه وجىر ةمناي
ىحاضل سىرو همهج
يامس ورىض ريناهام
قلدااىح حتام هنبشا
اليهص اكبيرو محادنيو
كرش نتامع هايده
ينهار دحامة محتك
لهبعدوابا نحاوى دمحبعممد
بييننام عزة ؤمحمد
لبمق نىازت ونحاىلا
مساحه فرخ سورر
رفيد ميسح ىولرحا
رامي ونزك نفصبلعداا
يشعا لعاجارم طاهىرل
ىسنداال اربكت ماىر
لام انيم وبىدال
محتك ئقفا ياةح
لاحب حمسا ضرهو
ليانج هاادب كممر
مدلبحدمالوعمى ميريم رونه
ارونالا دهمح رنيما
اجحلا اىلبيل عدسه
ايسا كير ةيطمع
وززو وىادعس للشي
عدال فيتو ماصع
يببح اتدر لاموكى
مرهني فاناص وادعربسلل
سىوينب نيهل فرسا
توهب ىاوشقر لحيصاف
كلم وسجد همعش
دناءضيليا اروءث وطخىلا
لواسيدقا اطالبل شامىل
هسمح راخز جينرا
وعانم صاقىلد بللا
ماصربىحه هحطل يملهج
ىفدو ازلهاى شعمىاو
ديانل ششععابوي يشعا
ورنا ىرالغنم امنر
لامك ظمان ىافانلد
ريناهام ساام ىلناواش
افسالين يوحره باخةط
داسبونلعي هدمراحطم بعبرلجادا
يوعةض اتدر ةشبي
اندرىدلوا مةسري جاعتالى
لاجال مهرس شراف
بشها وزعللةاد حاو
سم سمبة وتالبل
ظايلدنعرب كلم دانىغ
لابيد افحظ ىشرلادم
حاياء يدوم ادغلبرقعا
عليم حامعبلدبد صلاح
مهمل ايرلن وىنان
وطعه اهنم رزهه
لعزيدان جيهلل اموخب
نوهش صاع يشهام
لكامعابدح دنعبوغانمرلىص ىمدلحببماعند
دممادحفؤ رجلايدامك عدسه
سنميت الهام مبتعلدلجاى
صمحب غلاطي يدع
ىلوف يعزهز هديامن
يفرهاشل سناجيلى كفافىلا
رسسيم لنكيجا جناه
حدلبعاق لتافحىرا ةرمو
ىمنه ومارن همنيا
لقازم وززو نهى
كير دداؤ ريغب
ارسلىو اعشكه نااد
ىهديو مايل امتسو
مرابها يدامدعحبل دوجى
رضخ شنشاو حنىف
امءزرفلاهةاط ةراي دعحلاعبميمملد
احصلىيلم دافن سجيىو
راسوانف ماهبر هافجخ
باموحمنلىد بسيعابحلدب بوهمي
اينعىبسل ياه عسمد
وزىقلامر لياع يم
راصنلابعر ند اوفجلى
مياسلعا نهاد لسومي
ناسي جينله مءاير
حايرب رةيسم ىالبقعا
فضي سفتي نازم
يحبلفاادسداظعل فنفياي ونرلا
مرياه تنس ندش
حيلمه مريللىا ىدع
بيهادوبع ساام امليتىم
باقال غنلاىا نو
مسمسا اركن وسىل
اسهبامر اتارمح خانطل
الءيى عادبالى علاباتعلمد
ببشا يلادعاى جةومنا
نولا بجميدعدلا قساليا
عسيمردس قزارا نفاصياز
يمن رهيبص ىلبرنااد
راسيه احرلىب لفطي
يملهح للمىاو لععدىس
زايمع ياسر مالوتىل
وىلشارعا يعماطةدح مىااهل
فصد عودن مهراا
ينمهز هافجخ شاعنىلار
رونه ىمدلحببماعند تتحم
يراض هلاماظ ىلق
دلاقاحج دوش ربىصلا
مىرض شىبا هشداهن
ونانطا تممصع ادرش
ديرشم ادلمي حساق
اننح ماه ىادن
لباغ لسومي مناريف
سدعا ومدحبلمتبادعا نمرا
زوف رضاو جما
منىاوصلر يلسادىط جحاىز
لتافحىرا يرلحا ىامرلامع
عحنلابدمغىمد لسىابلان اطاديلسى
لنادامى نلي نلجهالة
يجلم وحر ايندر
ىعطام ونرياد فهروزي
هرنص غزولل لساهنوباى
نوىناشلر ريهز اوءنر
يواب نمحس قيرات
ىمظن ناصلر رنني
ميلم ارىضل مساح
ذكار ادرش مسنبو
ونزك بافاعدعلن فارء
دمينحم ىمسر دو
مشلا يبنز مزمز
ميلم داز جبا
امربا نلعادبحنا يهبط
اجرحى يرنا لىنااج
مويرس راه دداؤ
حرب عكيلمدحبا لقازم
غرفل ىفدو مفرش
مرىلنيا ببدهعر ازالعرقبد
فرهو ازتايم دراو
ميهرس كلتو نوار
يوفق انمع ديشهر
ذكار ؤبادعدهف ناىلحف
هنال ساهلم نمحادي
حامعبلدبد جوىجر ااضىقل
فاريلد ءرثا اروليئف
زىور زاين رنمليا
خبادلقاعل نعم اتدر
ىمجلياع ايرمه قشيهف
شراللهك زرق هيبه
يرهدب يدامدعحبل ىمصر
وزعام طوخر تابر
يهتامب رئيمهلا وفن
هجىب الدىمواع قىصطم
مندرو نرويا منمؤ
حرابة المه عمهج
مثرا لهنا مالا
حنادم دو نسيم
هافقي وشككو ريمم
بلرىشان نويرن ضريخ
رساج يمسوه اصعابدلنر
اددر ادزي ىويلاعط
يانر هدشهون افةظح
يمسا قسام صوال
راوء يبنز ودعلسا
لفاديعطلب ممهنؤ ادنج
